Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut
02:23:22:13.799,61,0.0,0.043319,0.090261,0.0,0.0,0.146131,0.075458,0.0,0.043193,0.040642,0.0,0.0,0.146131,0.07573,0.03633,0.0,0.006617,0.09463,0.121059,0.057114,0.09238,0.005783,0.0,0.147069,0.175,0.0,0.0,0.052828,0.056251,0.116989,0.121348,0.083018,0.043038,0.098175,0.050921,0.058245,0.055493,0.143458,0.139263,0.024875,0.026227,0.022718,0.022066,0.144967,0.0,0.0,0.035687,0.161305,0.164347,0.111,0.119529,0.000507
02:23:22:14.799,61,0.0,0.042939,0.089409,0.0,0.0,0.14649,0.076063,0.0,0.042811,0.041537,0.0,0.0,0.146491,0.076336,0.036227,0.0,0.006627,0.094599,0.121084,0.056881,0.0923,0.005894,0.0,0.146694,0.174456,0.0,0.0,0.052722,0.056127,0.116929,0.121309,0.083196,0.043031,0.098122,0.050871,0.058266,0.0555,0.143764,0.139553,0.024727,0.026047,0.023671,0.02299,0.144958,0.0,0.0,0.035802,0.161229,0.164282,0.110996,0.119409,0.000545
02:23:22:15.799,61,0.0,0.043728,0.087943,0.0,0.0,0.146793,0.075929,0.0,0.043597,0.043059,0.0,0.0,0.146793,0.076203,0.036055,0.0,0.006609,0.094406,0.120893,0.056507,0.0923,0.005991,0.0,0.146231,0.173874,0.0,0.0,0.05253,0.05591,0.116666,0.121053,0.083379,0.042972,0.098097,0.050833,0.058314,0.055534,0.143726,0.139497,0.024554,0.025843,0.03064,0.029888,0.144869,0.0,0.0,0.035926,0.161064,0.164128,0.111104,0.119412,0.000587
02:23:22:16.800,61,0.0,0.103468,0.086634,0.0,0.0,0.132199,0.076348,0.0,0.10339,0.045899,0.0,0.0,0.132198,0.076623,0.035818,0.0,0.006642,0.094326,0.120978,0.056131,0.092233,0.006025,0.0,0.146681,0.174249,0.0,0.0,0.052313,0.055668,0.116529,0.120881,0.083475,0.042714,0.098022,0.05082,0.058305,0.055469,0.146606,0.143972,0.024637,0.025897,0.037853,0.036964,0.148097,0.0,0.0,0.035907,0.161118,0.164282,0.115533,0.124028,0.000463
02:23:22:17.800,61,0.0,0.134936,0.088265,0.0,0.0,0.124331,0.066188,0.0,0.134894,0.045482,0.0,0.0,0.124329,0.066456,0.035487,0.0,0.006854,0.094066,0.120836,0.055636,0.092092,0.006002,0.0,0.1481,0.174764,0.0,0.0,0.052096,0.055401,0.116059,0.120388,0.083535,0.042353,0.098084,0.050963,0.058537,0.055611,0.147741,0.145547,0.024841,0.026072,0.092869,0.091922,0.14816,0.0,0.0,0.035788,0.16115,0.164315,0.121422,0.129997,0.000414
02:23:22:18.800,61,0.035847,0.15001,0.086381,0.0,0.0,0.120881,0.006683,0.035454,0.149966,0.04829,0.0,0.0,0.120877,0.00719,0.035129,0.0,0.007389,0.093598,0.120214,0.055208,0.092124,0.005849,0.0,0.148873,0.174928,0.0,0.0,0.051927,0.055129,0.11316,0.116992,0.083351,0.041967,0.098459,0.051355,0.062306,0.058038,0.149677,0.14751,0.025199,0.026413,0.224043,0.223196,0.148025,0.0,0.0,0.035456,0.161247,0.164293,0.134802,0.144173,0.000368
02:23:22:19.800,61,0.078412,0.160075,0.088325,0.0,0.0,0.119285,0.0,0.078296,0.16005,0.047915,0.0,0.0,0.11928,0.0,0.034675,0.0,0.008893,0.092791,0.115651,0.054648,0.092428,0.005583,0.0,0.149101,0.17136,0.0,0.0,0.051825,0.054894,0.107844,0.111866,0.083091,0.041616,0.10079,0.051964,0.069979,0.064012,0.154127,0.152062,0.025595,0.026798,0.415842,0.415165,0.155873,0.0,0.0,0.034976,0.160856,0.162524,0.145996,0.154247,0.000304
02:23:22:20.800,61,0.095477,0.173082,0.086781,0.0,0.0,0.118704,0.0,0.095306,0.17305,0.0506,0.0,0.0,0.118696,0.0,0.034173,0.0,0.010563,0.091669,0.111076,0.054137,0.092776,0.005171,0.0,0.149174,0.168903,0.0,0.0,0.051771,0.05471,0.104437,0.108739,0.082662,0.041225,0.103896,0.053427,0.074624,0.068138,0.159171,0.158499,0.026144,0.027355,0.543609,0.543085,0.167193,0.0,0.0,0.034455,0.160465,0.161589,0.153264,0.160552,0.000246
02:23:22:21.800,61,0.103438,0.174129,0.085366,0.0,0.0,0.11861,0.0,0.10326,0.174085,0.05215,0.0,0.0,0.118599,0.0,0.033702,0.0,0.011771,0.090832,0.108748,0.053675,0.09301,0.004788,0.0,0.149522,0.167885,0.0,0.0,0.051727,0.054538,0.102521,0.106895,0.082163,0.04084,0.105359,0.05441,0.076906,0.070186,0.163335,0.162975,0.026764,0.027987,0.591043,0.590573,0.172571,0.0,0.0,0.033893,0.160303,0.161042,0.157002,0.163877,0.000219
02:23:22:22.800,61,0.107493,0.173803,0.085959,0.0,0.0,0.118765,0.0,0.107306,0.173764,0.051703,0.0,0.0,0.118752,0.0,0.033257,0.0,0.012644,0.089735,0.107062,0.053218,0.093254,0.004518,0.0,0.149692,0.167048,0.0,0.0,0.051663,0.054349,0.101206,0.105581,0.081796,0.040458,0.106886,0.05527,0.078745,0.071933,0.165002,0.164767,0.027292,0.028511,0.581522,0.581031,0.176119,0.0,0.0,0.033422,0.160139,0.160584,0.159101,0.165748,0.000191
