    Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll
02:23:22:23.800,61,0.1067473218,0.171922192,0.0870392025,0.0,0.0,0.1190850064,0.0,0.106498301,0.1718892306,0.0509495176,0.0,0.0,0.1190713048,0.0,0.0329097956,0.0,0.0133963274,0.0889132544,0.1059352607,0.0528143607,0.0933241472,0.0043434063,0.0,0.1500905007,0.166707322,0.0,0.0,0.0516285673,0.0541959107,0.100309357,0.1046786681,0.0814867318,0.0400919616,0.108206436,0.0561555885,0.0800265595,0.0731828138,0.1660864502,0.1658619344,0.0278332084,0.0290437248,0.5499776006,0.5494565964,0.1788318157,0.0,0.0,0.0329888575,0.1602717042,0.1605099887,0.1604072452,0.1669152379,0.0001702318,0.0284975413,-0.1108166426,0.1741315126
02:23:22:24.800,61,0.1026245058,0.1678952277,0.0883179829,0.0,0.0,0.1193803772,0.0,0.1023399606,0.1678698361,0.049633503,0.0,0.0,0.1193651706,0.0,0.0326220468,0.0,0.014064488,0.0881429911,0.1051025316,0.0524190404,0.0932575315,0.0042481893,0.0,0.1510214508,0.1667963564,0.0,0.0,0.0515780523,0.0540293455,0.0996697843,0.1040265039,0.0812557414,0.0397313908,0.1091478318,0.0569064692,0.0809115916,0.0740562081,0.1666674316,0.1663537025,0.0283266623,0.0295201764,0.5084473491,0.5078645945,0.1803102344,0.0,0.0,0.0325670652,0.1606706381,0.1607218534,0.1612524092,0.167675972,0.0002130866,0.0285253506,-0.1121494994,0.175134182
02:23:22:25.801,61,0.0995479226,0.1673395783,0.0879378617,0.0,0.0,0.1196233109,0.0,0.0992347449,0.1673115045,0.0497647561,0.0,0.0,0.1196068302,0.0,0.0323814154,0.0,0.014630232,0.0874451548,0.1044472754,0.0520096049,0.0931654647,0.0042065973,0.0,0.1526204944,0.1671758294,0.0,0.0,0.0515515096,0.0538941212,0.0991698429,0.1035019755,0.0811762065,0.0394113697,0.1100178733,0.0575971715,0.0816232115,0.0747758523,0.1668314934,0.1663836986,0.0287297331,0.0298998673,0.4815634787,0.4808750153,0.1814725101,0.0,0.0,0.0322099254,0.1611553878,0.1610419452,0.161763683,0.1681358367,0.0002169612,0.0294005983,-0.1133206189,0.1763647348
02:23:22:26.801,61,0.0982189551,0.1669932157,0.0879085436,0.0,0.0,0.1199095771,0.0,0.0978932083,0.1669643819,0.0498340204,0.0,0.0,0.1198921353,0.0,0.0321956612,0.0,0.0151271746,0.0868863016,0.1039800197,0.0516186468,0.0930844992,0.0041729244,0.0,0.154988274,0.1680873185,0.0,0.0,0.0515699573,0.0538121648,0.0987992212,0.1030968279,0.0812105164,0.039151933,0.1107877716,0.0581938773,0.0822405815,0.0754075572,0.16686517,0.1662819535,0.0290687047,0.0302170869,0.4687833488,0.4680682719,0.1834636033,0.0,0.0,0.0319044366,0.161734581,0.1614729911,0.1621057987,0.1684295237,0.0002352649,0.030279737,-0.1139995679,0.1771707684
02:23:22:27.801,61,0.0964213014,0.1665004939,0.0872077569,0.0,0.0,0.1199986637,0.0,0.0960794538,0.1664654911,0.0504828617,0.0,0.0,0.1199806333,0.0,0.0320199952,0.0,0.0155436601,0.086439915,0.103717722,0.0513719916,0.0930056646,0.0041546375,0.0,0.1562025547,0.1688486785,0.0,0.0,0.0514911599,0.0536431782,0.0986405015,0.102915898,0.0810656101,0.0388525203,0.1111961976,0.0586265661,0.0825289562,0.0757234544,0.1668787003,0.166153729,0.0294121094,0.0305440221,0.4348196089,0.4340749979,0.1844489276,0.0,0.0,0.0315966569,0.1623745114,0.1620192826,0.1622006744,0.1685192883,0.0002602187,0.0311535653,-0.1144602597,0.1778389812
02:23:22:28.801,61,0.0938780382,0.1672359556,0.0871900246,0.0,0.0,0.119990848,0.0,0.0935209915,0.1672009528,0.050609991,0.0,0.0,0.1199723259,0.0,0.0319064595,0.0,0.015920423,0.0860394165,0.1035093367,0.0512251034,0.0929471478,0.0041738288,0.0,0.157363832,0.1697105765,0.0,0.0,0.0514048673,0.0534745865,0.0985978469,0.1028558686,0.0809010714,0.0385529436,0.1115947142,0.0590709075,0.0827478841,0.0759771541,0.1668610275,0.1659850627,0.0297785103,0.0308906119,0.4167078733,0.4159306586,0.1852991879,0.0,0.0,0.0313457511,0.1634047329,0.1627631634,0.1622562259,0.1685628146,0.0002445716,0.0315141007,-0.1143201366,0.1783081144
02:23:22:29.801,61,0.0923097804,0.1680227816,0.0867579579,0.0,0.0,0.1198288128,0.0,0.0919425935,0.1679845601,0.0510918349,0.0,0.0,0.1198097914,0.0,0.0318099111,0.0,0.0162288975,0.0856948271,0.1033780053,0.0511196181,0.0928557962,0.0042130523,0.0,0.1582742482,0.1706828475,0.0,0.0,0.0513531417,0.0533530675,0.0986201614,0.1028549895,0.0807240754,0.0382669382,0.1119054481,0.0594658777,0.0828846842,0.0761449337,0.1667427719,0.165734753,0.0301245544,0.031213874,0.3974574804,0.3966480196,0.1857040077,0.0,0.0,0.0311333258,0.164198637,0.1634464413,0.162218824,0.1684999615,0.0002519277,0.0315183885,-0.1138295606,0.1788765192
02:23:23:00.802,61,0.0913627297,0.1669729501,0.086639069,0.0,0.0,0.1196548194,0.0,0.0909904093,0.1669330001,0.0511661693,0.0,0.0,0.1196354553,0.0,0.0317652263,0.0,0.0165206343,0.0854608268,0.1033890098,0.0509921685,0.0926577374,0.0042408598,0.0,0.1592428684,0.1721167713,0.0,0.0,0.051353436,0.0532967485,0.0987307876,0.1029539183,0.0806709081,0.0380447432,0.1121025831,0.0597512983,0.0829538926,0.0762454569,0.1666020751,0.1654724479,0.0304142125,0.0314834975,0.375079155,0.3742969036,0.1860308349,0.0,0.0,0.0309448931,0.1649141759,0.1641028374,0.1620932966,0.1683388054,0.0002811127,0.031259153,-0.1136290953,0.1798500717
02:23:23:01.802,61,0.0905843601,0.1659987122,0.0866583586,0.0,0.0,0.1194840521,0.0,0.0902079567,0.1659582108,0.0511116982,0.0,0.0,0.1194645092,0.0,0.031699378,0.0,0.0167569146,0.0852187723,0.1033507064,0.0509356186,0.0924574733,0.004313387,0.0,0.1600677371,0.1730758697,0.0,0.0,0.051325459,0.0532133281,0.0988471359,0.1030519381,0.0804576501,0.037787281,0.1122445613,0.060043525,0.0829284713,0.0762476474,0.1664689481,0.1652272195,0.0307522658,0.0317980573,0.3655304611,0.364733845,0.1862430573,0.0,0.0,0.0307427607,0.1655944139,0.164747715,0.161872521,0.1680587679,0.000264421,0.0312245786,-0.1142115816,0.1806865036
02:23:23:02.802,61,0.0902021825,0.1657084376,0.0869539082,0.0,0.0,0.1191859543,0.0,0.0898232386,0.1656703651,0.0507814027,0.0,0.0,0.1191663593,0.0,0.0316238664,0.0,0.0169545542,0.0850099847,0.1033856049,0.0509181023,0.092203863,0.004349601,0.0,0.160731256,0.173913613,0.0,0.0,0.0512582138,0.0531034656,0.0990555808,0.1032450944,0.0802092403,0.0375156626,0.1122302935,0.0602458753,0.0827587768,0.0761182085,0.1663275808,0.1650027037,0.0310914386,0.0321211815,0.3489547372,0.3481394649,0.1862766743,0.0,0.0,0.0305258892,0.1661898643,0.1653349251,0.1616251171,0.1677682698,0.0002315465,0.0310809147,-0.1147818118,0.1814940125
