Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut
15:38:22:12.566,61,0.1799744219,0.3134555221,0.1056577861,0.0,0.0,0.0800559446,0.0,0.1802866906,0.3139375448,0.0172595996,0.0,0.0,0.0799861774,0.0,0.2419383526,0.0,0.0717931539,0.2211496979,0.0362715982,0.0401622616,0.0245019644,0.0,0.0372319594,0.8940934539,0.9136434793,0.0,0.0,0.1580868363,0.1705361903,0.2680577934,0.2874628901,0.0408010222,0.0246129129,0.0924791992,0.0930179954,0.1019909084,0.1031016782,0.7126244903,0.7373428941,0.4623591602,0.4819834232,0.2598287463,0.2598343194,0.0869617313,0.0,0.0,0.0145368828,0.5993998051,0.6273166537,0.3986127675,0.4164965749,2.68192e-05
15:38:22:13.566,61,0.1759341955,0.3167972565,0.1265533268,0.0,0.0,0.0838028491,0.0,0.1759840697,0.3175823092,0.0,0.0035254296,0.0,0.0837353021,0.0,0.1676698774,0.0,0.0573471449,0.1610650569,0.0354083665,0.0355986357,0.0237326343,0.0,0.0362130851,0.890059948,0.9012112021,0.0,0.0,0.1579658985,0.1707972288,0.2329559624,0.2394530326,0.0448135547,0.0240521189,0.1118851453,0.1023363099,0.1060963124,0.1067234874,0.6581630707,0.679620564,0.4489561021,0.4692316949,0.2635481358,0.2635051012,0.0813386664,0.0,0.0,0.0139542641,0.5481305122,0.5688424706,0.3823015392,0.4063394964,4.2663e-06
15:38:22:14.566,61,0.1271582246,0.3011617064,0.170605883,0.0,0.0,0.0722653419,0.0,0.1270731241,0.3025072217,0.0,0.0466902256,0.0,0.0722424164,0.0,0.1399563849,0.0,0.0502627864,0.1333295107,0.0352779441,0.0336455218,0.0233169068,0.0,0.0269229431,0.7550846934,0.7633920312,0.0,0.0,0.13440983,0.144087851,0.21244286,0.2155408859,0.0478717312,0.0240169186,0.1182891801,0.1049745232,0.0918477178,0.0878698751,0.5685535073,0.5775533319,0.3157476485,0.3302120864,0.202133894,0.2016367763,0.0793128014,0.0,0.0,0.0133557059,0.3987539411,0.3990126848,0.3568953574,0.3938524425,3.0511e-06
15:38:22:15.567,61,0.1086233482,0.2712414861,0.2045082152,0.0,0.0,0.0678663477,0.0,0.1084626913,0.2728663385,0.0,0.0810305849,0.0,0.067855157,0.0,0.1256223768,0.0,0.046731364,0.117766507,0.0354184769,0.0326991566,0.0230253413,0.0,0.019039683,0.7317922711,0.7388566136,0.0,0.0,0.1278709769,0.1368058473,0.201972872,0.2029680312,0.0521790944,0.0242077578,0.121263653,0.1026026681,0.0881909654,0.0830518529,0.5477011204,0.551328361,0.2800529003,0.2927291989,0.1791931093,0.1783100665,0.0785859078,0.0,0.0,0.0128324004,0.3906058967,0.369533211,0.3041053116,0.3410608172,8.4e-09
15:38:22:16.566,61,0.1006898731,0.2635945082,0.2479462624,0.0,0.0,0.0687610358,0.0,0.1005055681,0.2656849921,0.0,0.1257549822,0.0,0.0687267259,0.0,0.1178493351,0.0,0.0449793525,0.1039502546,0.0352065898,0.0318252034,0.0227270946,0.0,0.0161011945,0.8247566819,0.8376287818,0.0,0.0,0.1277535409,0.1384111792,0.196564883,0.1963665187,0.0542826578,0.0241352692,0.1229234859,0.1022814438,0.0868833736,0.0815559253,0.5721994042,0.590885818,0.342594564,0.354998529,0.1998320669,0.1991243064,0.078325972,0.0,0.0,0.0124598192,0.4823034704,0.4608080387,0.2704739273,0.300650835,8.4e-09
15:38:22:17.567,61,0.0876569077,0.2405878603,0.2964169085,0.0,0.0,0.0894763917,0.0,0.0876332894,0.2430174798,0.0,0.1750213951,0.0,0.0892845616,0.0,0.1243869141,0.0,0.0438242331,0.097995989,0.034771964,0.0309880078,0.0223554876,0.0,0.0148373581,0.8498104811,0.8690387607,0.0,0.0,0.1339814365,0.1466205418,0.2285960615,0.2057791948,0.0555388406,0.0239680875,0.1237561181,0.1021854132,0.0911606178,0.0873745233,0.6312201023,0.6592836976,0.3851616085,0.4130319357,0.2255629599,0.2253963947,0.0778490901,0.0,0.0,0.0122330235,0.5231958628,0.5064279437,0.2573622167,0.2862682641,3e-10
15:38:22:18.567,61,0.0650913641,0.2240225524,0.3538888097,0.0,0.0,0.1171380654,0.0,0.0651185587,0.2268673182,0.0,0.2331240475,0.0,0.1165625304,0.0,0.1695246696,0.0,0.0402167514,0.0953985974,0.0342308767,0.0300754625,0.0218904447,0.0,0.0145665482,0.8626521826,0.8853616714,0.0,0.0,0.1426963806,0.1554492563,0.2801341116,0.2379020751,0.056333188,0.0237840302,0.1239590645,0.1019914672,0.0953276679,0.0924527943,0.6563925147,0.691321969,0.3996254504,0.4312877953,0.2381922156,0.2381053716,0.0765891522,0.0,0.0,0.0120940115,0.5394768715,0.5233027935,0.2505151033,0.2788977623,5.3e-09
15:38:22:19.567,61,0.0259055384,0.2114666402,0.4332685173,0.0,0.0,0.1475935876,0.0,0.0259201415,0.2148900777,0.0,0.3145632744,0.0,0.1461581588,0.0,0.1809969544,0.0,0.0388479307,0.0939651877,0.0337473117,0.0291785728,0.0213842634,0.0,0.0159929823,0.8700649142,0.89501369,0.0,0.0,0.154548794,0.1651840955,0.2958755493,0.2492547482,0.0570773147,0.023588324,0.1242364049,0.1019712463,0.0999369249,0.0958420262,0.6671273708,0.7067536116,0.4070299268,0.4405564368,0.2498574108,0.2498352528,0.0749999583,0.0,0.0,0.0120723434,0.5480784178,0.5315510035,0.2465322018,0.2733821869,9.9e-08
15:38:22:20.567,61,0.0143457754,0.2244318724,0.4757798016,0.0,0.0,0.1736323684,0.0,0.0143628949,0.2284682691,0.0,0.3587005734,0.0,0.1693948358,0.0,0.162962079,0.0,0.0382955521,0.0929107815,0.0332310982,0.0282409042,0.02088915,0.0,0.0180360153,0.8763543963,0.9026884437,0.0,0.0,0.1584648043,0.1683200151,0.3039000034,0.2544599473,0.0576674379,0.0232609659,0.1246757358,0.1023081467,0.1034634635,0.097641781,0.6698710918,0.7146465778,0.4556744993,0.4896022975,0.278660953,0.278655827,0.0716949552,0.0,0.0,0.0120943692,0.5651625395,0.5362157822,0.2632418573,0.2833204865,1.742e-07
15:38:22:21.567,61,0.0079804109,0.21192424,0.5037436485,0.0,0.0,0.1881268919,0.0,0.0079983696,0.2159937173,0.0,0.3873338401,0.0,0.1821483225,0.0,0.1597653031,0.0,0.0380591378,0.0925051123,0.0329400748,0.0274638664,0.0204371978,0.0,0.0196324326,0.8787781596,0.9058505893,0.0,0.0,0.1603779197,0.1696093827,0.3112935722,0.2586342394,0.0583890341,0.0229850523,0.1251649857,0.1025861427,0.1052654386,0.098793827,0.6630544066,0.7185950875,0.4578028917,0.4934898615,0.2870183885,0.2870253921,0.0688023269,0.0,0.0,0.0121383099,0.5707226396,0.537876904,0.2721678317,0.2917008996,1.875e-07
